iter	Passed	Remaining
0	60	60226
1	62	31187
2	64	21431
3	66	16574
4	68	13636
5	70	11672
6	72	10287
7	74	9246
8	76	8455
9	78	7790
10	80	7262
11	82	6828
12	85	6455
13	87	6139
14	89	5878
15	91	5643
16	93	5423
17	95	5233
18	97	5058
19	100	4907
20	102	4764
21	104	4640
22	106	4525
23	108	4415
24	110	4313
25	112	4231
26	115	4149
27	117	4069
28	119	3991
29	121	3926
30	124	3878
31	126	3815
32	128	3763
33	131	3739
34	133	3686
35	135	3638
36	137	3586
37	139	3543
38	141	3498
39	143	3452
40	145	3414
41	148	3378
42	150	3343
43	152	3310
44	154	3275
45	156	3242
46	158	3207
47	159	3171
48	161	3139
49	163	3110
50	165	3085
51	167	3056
52	169	3034
53	171	3009
54	173	2984
55	175	2959
56	177	2934
57	179	2909
58	181	2887
59	182	2866
60	184	2842
61	186	2820
62	188	2798
63	190	2782
64	192	2762
65	193	2743
66	195	2724
67	197	2707
68	199	2690
69	201	2675
70	203	2658
71	205	2646
72	207	2630
73	208	2614
74	210	2598
75	212	2583
76	214	2570
77	216	2557
78	218	2546
79	220	2534
80	222	2521
81	224	2508
82	225	2495
83	227	2481
84	229	2468
85	234	2492
86	236	2485
87	239	2477
88	240	2464
89	242	2452
90	244	2440
91	246	2431
92	248	2420
93	250	2409
94	251	2398
95	253	2387
96	255	2377
97	257	2368
98	259	2357
99	260	2347
100	262	2338
101	264	2329
102	266	2319
103	268	2310
104	270	2303
105	272	2294
106	273	2286
107	275	2277
108	277	2271
109	279	2262
110	281	2253
111	283	2244
112	284	2236
113	286	2228
114	288	2220
115	290	2213
116	292	2204
117	293	2196
118	295	2188
119	297	2180
120	299	2173
121	300	2165
122	302	2158
123	305	2156
124	307	2149
125	308	2142
126	310	2134
127	312	2127
128	314	2120
129	315	2113
130	317	2107
131	319	2101
132	321	2094
133	323	2088
134	324	2082
135	326	2076
136	328	2070
137	330	2064
138	332	2058
139	334	2052
140	335	2046
141	337	2041
142	339	2035
143	341	2030
144	343	2027
145	345	2022
146	347	2016
147	349	2010
148	351	2004
149	352	1999
150	354	1993
151	356	1989
152	358	1985
153	360	1982
154	362	1978
155	364	1972
156	366	1967
157	368	1961
158	370	1957
159	371	1952
160	373	1947
161	375	1942
162	377	1936
163	379	1933
164	381	1928
165	382	1924
166	384	1919
167	386	1914
168	388	1911
169	390	1905
170	392	1901
171	394	1896
172	395	1892
173	397	1887
174	399	1883
175	401	1879
176	403	1874
177	404	1870
178	407	1867
179	408	1862
180	411	1860
181	412	1855
182	414	1851
183	416	1846
184	418	1842
185	420	1838
186	421	1833
187	423	1829
188	425	1824
189	426	1820
190	428	1816
191	430	1812
192	432	1808
193	434	1803
194	436	1800
195	438	1796
196	439	1792
197	441	1788
198	443	1784
199	445	1781
200	447	1777
201	449	1773
202	450	1769
203	452	1766
204	454	1762
205	456	1758
206	458	1755
207	459	1751
208	461	1748
209	463	1744
210	465	1741
211	467	1737
212	469	1734
213	471	1730
214	473	1727
215	475	1724
216	477	1721
217	478	1717
218	480	1714
219	482	1710
220	484	1706
221	486	1703
222	487	1700
223	489	1696
224	491	1692
225	493	1689
226	494	1685
227	496	1681
228	498	1678
229	500	1675
230	502	1671
231	503	1668
232	505	1664
233	507	1661
234	509	1658
235	511	1654
236	512	1651
237	514	1648
238	516	1644
239	518	1642
240	520	1639
241	522	1635
242	524	1632
243	525	1629
244	527	1626
245	529	1622
246	531	1619
247	533	1616
248	534	1613
249	536	1609
250	538	1606
251	540	1603
252	541	1600
253	543	1596
254	545	1593
255	547	1590
256	549	1587
257	550	1584
258	553	1582
259	554	1579
260	556	1576
261	558	1572
262	560	1569
263	562	1568
264	564	1565
265	565	1561
266	567	1559
267	569	1556
268	571	1553
269	573	1550
270	575	1547
271	577	1545
272	579	1543
273	581	1540
274	582	1536
275	584	1534
276	586	1531
277	588	1528
278	590	1525
279	591	1522
280	594	1520
281	595	1517
282	597	1514
283	599	1511
284	601	1508
285	603	1505
286	605	1503
287	606	1500
288	608	1497
289	610	1494
290	612	1491
291	614	1488
292	615	1485
293	617	1482
294	619	1480
295	621	1477
296	623	1474
297	625	1472
298	627	1470
299	629	1467
300	630	1465
301	632	1462
302	634	1459
303	636	1457
304	638	1454
305	640	1452
306	642	1449
307	643	1446
308	645	1444
309	647	1441
310	649	1438
311	651	1435
312	652	1432
313	654	1430
314	656	1427
315	658	1424
316	660	1422
317	662	1420
318	663	1417
319	665	1414
320	667	1412
321	669	1410
322	671	1407
323	673	1405
324	675	1402
325	677	1400
326	678	1397
327	680	1394
328	682	1392
329	684	1389
330	686	1387
331	688	1385
332	690	1382
333	692	1380
334	693	1377
335	695	1374
336	697	1372
337	699	1369
338	701	1367
339	703	1365
340	705	1362
341	706	1360
342	708	1357
343	710	1355
344	712	1352
345	714	1349
346	716	1347
347	717	1345
348	719	1342
349	721	1340
350	723	1337
351	725	1336
352	727	1333
353	729	1331
354	731	1328
355	735	1330
356	737	1327
357	739	1325
358	741	1323
359	742	1320
360	744	1318
361	746	1315
362	748	1313
363	750	1311
364	752	1308
365	754	1306
366	756	1304
367	758	1302
368	760	1300
369	762	1297
370	763	1295
371	766	1293
372	768	1291
373	770	1289
374	772	1286
375	773	1284
376	776	1283
377	778	1281
378	780	1278
379	782	1276
380	783	1273
381	785	1270
382	787	1268
383	789	1265
384	791	1263
385	792	1261
386	794	1258
387	796	1256
388	797	1253
389	799	1250
390	801	1248
391	803	1246
392	805	1243
393	807	1241
394	809	1239
395	810	1236
396	812	1234
397	814	1231
398	816	1229
399	818	1227
400	819	1224
401	821	1222
402	823	1219
403	825	1217
404	827	1215
405	828	1212
406	830	1210
407	832	1207
408	834	1205
409	836	1203
410	837	1200
411	839	1198
412	841	1195
413	843	1193
414	844	1191
415	846	1188
416	848	1186
417	850	1184
418	852	1181
419	853	1179
420	855	1176
421	857	1174
422	859	1172
423	861	1169
424	862	1167
425	864	1165
426	866	1162
427	868	1160
428	869	1157
429	871	1155
430	873	1153
431	875	1150
432	876	1148
433	878	1145
434	880	1143
435	882	1141
436	883	1138
437	885	1136
438	887	1134
439	889	1131
440	891	1129
441	892	1127
442	894	1125
443	896	1122
444	898	1120
445	900	1118
446	902	1116
447	903	1113
448	905	1111
449	907	1109
450	909	1107
451	911	1105
452	913	1102
453	915	1101
454	917	1098
455	919	1096
456	920	1094
457	922	1092
458	925	1090
459	926	1088
460	928	1086
461	931	1084
462	933	1082
463	935	1080
464	937	1078
465	938	1075
466	940	1073
467	942	1071
468	944	1069
469	946	1066
470	947	1064
471	949	1062
472	951	1059
473	953	1058
474	955	1055
475	957	1053
476	958	1051
477	960	1049
478	962	1046
479	964	1044
480	966	1042
481	967	1040
482	969	1037
483	971	1035
484	973	1033
485	974	1031
486	976	1028
487	978	1026
488	980	1024
489	982	1022
490	984	1020
491	985	1017
492	987	1015
493	989	1013
494	991	1011
495	993	1009
496	994	1006
497	996	1004
498	998	1002
499	1000	1000
500	1002	998
501	1004	996
502	1006	994
503	1007	991
504	1009	989
505	1011	987
506	1013	985
507	1015	983
508	1016	980
509	1018	978
510	1020	976
511	1022	974
512	1024	972
513	1026	970
514	1027	968
515	1029	965
516	1031	963
517	1033	961
518	1035	959
519	1036	957
520	1038	955
521	1040	952
522	1042	950
523	1044	948
524	1045	946
525	1047	944
526	1049	942
527	1051	940
528	1053	937
529	1055	935
530	1057	933
531	1059	931
532	1061	929
533	1062	927
534	1064	925
535	1066	923
536	1068	921
537	1070	919
538	1072	916
539	1073	914
540	1075	912
541	1077	910
542	1079	908
543	1081	906
544	1083	904
545	1084	902
546	1086	900
547	1088	897
548	1090	895
549	1092	893
550	1093	891
551	1095	889
552	1097	886
553	1099	884
554	1101	882
555	1102	880
556	1104	878
557	1106	876
558	1108	874
559	1109	872
560	1111	869
561	1113	867
562	1115	866
563	1117	864
564	1119	862
565	1122	860
566	1124	858
567	1126	856
568	1128	854
569	1130	852
570	1133	851
571	1135	849
572	1137	847
573	1139	845
574	1141	843
575	1142	841
576	1144	839
577	1146	837
578	1148	835
579	1150	832
580	1152	830
581	1153	828
582	1155	826
583	1157	824
584	1159	822
585	1161	820
586	1162	818
587	1164	816
588	1166	813
589	1168	811
590	1169	809
591	1171	807
592	1173	805
593	1175	803
594	1177	801
595	1179	799
596	1181	797
597	1182	795
598	1184	793
599	1186	790
600	1188	788
601	1190	786
602	1191	784
603	1193	782
604	1195	780
605	1197	778
606	1199	776
607	1201	774
608	1202	772
609	1204	770
610	1206	768
611	1208	766
612	1210	764
613	1211	761
614	1213	759
615	1215	757
616	1217	755
617	1219	753
618	1220	751
619	1222	749
620	1224	747
621	1226	745
622	1228	743
623	1230	741
624	1232	739
625	1233	737
626	1235	734
627	1237	732
628	1239	730
629	1240	728
630	1242	726
631	1244	724
632	1246	722
633	1248	720
634	1249	718
635	1251	716
636	1253	714
637	1255	712
638	1257	710
639	1259	708
640	1261	706
641	1262	704
642	1264	702
643	1266	699
644	1268	697
645	1269	695
646	1271	693
647	1273	691
648	1275	689
649	1277	687
650	1279	685
651	1280	683
652	1282	681
653	1284	679
654	1286	677
655	1288	675
656	1290	673
657	1292	671
658	1293	669
659	1295	667
660	1297	665
661	1299	663
662	1301	661
663	1303	659
664	1304	657
665	1306	655
666	1308	653
667	1310	651
668	1312	649
669	1313	647
670	1315	645
671	1317	643
672	1319	641
673	1321	639
674	1323	637
675	1325	635
676	1326	633
677	1328	631
678	1330	628
679	1332	626
680	1334	624
681	1335	622
682	1337	620
683	1339	618
684	1341	616
685	1343	614
686	1345	613
687	1347	611
688	1349	609
689	1351	607
690	1352	605
691	1354	602
692	1356	600
693	1358	598
694	1360	596
695	1361	594
696	1363	592
697	1365	590
698	1367	588
699	1368	586
700	1370	584
701	1372	582
702	1374	580
703	1376	578
704	1378	576
705	1380	574
706	1381	572
707	1383	570
708	1385	568
709	1387	566
710	1389	564
711	1391	562
712	1393	560
713	1395	558
714	1397	556
715	1399	554
716	1400	552
717	1402	550
718	1404	548
719	1406	546
720	1408	544
721	1410	542
722	1411	540
723	1413	538
724	1415	536
725	1417	534
726	1419	532
727	1420	530
728	1422	528
729	1424	526
730	1426	524
731	1428	522
732	1429	520
733	1432	519
734	1434	517
735	1436	515
736	1437	513
737	1439	511
738	1441	509
739	1443	507
740	1445	505
741	1447	503
742	1449	501
743	1451	499
744	1452	497
745	1454	495
746	1456	493
747	1458	491
748	1460	489
749	1462	487
750	1463	485
751	1465	483
752	1467	481
753	1469	479
754	1470	477
755	1472	475
756	1474	473
757	1476	471
758	1478	469
759	1480	467
760	1482	465
761	1483	463
762	1485	461
763	1487	459
764	1489	457
765	1490	455
766	1492	453
767	1495	451
768	1496	449
769	1498	447
770	1500	445
771	1502	443
772	1503	441
773	1506	439
774	1507	437
775	1509	435
776	1511	433
777	1513	431
778	1514	429
779	1516	427
780	1518	425
781	1519	423
782	1521	421
783	1523	419
784	1525	417
785	1527	415
786	1528	413
787	1530	411
788	1532	409
789	1534	407
790	1536	405
791	1538	404
792	1540	402
793	1541	400
794	1543	398
795	1545	396
796	1547	394
797	1549	392
798	1550	390
799	1552	388
800	1554	386
801	1556	384
802	1558	382
803	1559	380
804	1561	378
805	1563	376
806	1566	374
807	1568	372
808	1569	370
809	1571	368
810	1573	366
811	1575	364
812	1577	362
813	1579	360
814	1580	358
815	1582	356
816	1584	354
817	1586	352
818	1588	350
819	1589	348
820	1591	347
821	1593	345
822	1595	343
823	1596	341
824	1598	339
825	1600	337
826	1602	335
827	1603	333
828	1605	331
829	1607	329
830	1609	327
831	1610	325
832	1612	323
833	1614	321
834	1616	319
835	1618	317
836	1619	315
837	1621	313
838	1623	311
839	1625	309
840	1627	307
841	1628	305
842	1631	303
843	1632	301
844	1634	299
845	1636	297
846	1638	295
847	1640	293
848	1641	292
849	1643	290
850	1645	288
851	1647	286
852	1649	284
853	1650	282
854	1652	280
855	1654	278
856	1656	276
857	1658	274
858	1660	272
859	1661	270
860	1663	268
861	1665	266
862	1667	264
863	1668	262
864	1670	260
865	1672	258
866	1674	256
867	1676	254
868	1677	252
869	1679	251
870	1681	249
871	1683	247
872	1685	245
873	1686	243
874	1688	241
875	1690	239
876	1692	237
877	1694	235
878	1695	233
879	1698	231
880	1700	229
881	1702	227
882	1703	225
883	1705	223
884	1707	221
885	1709	219
886	1711	217
887	1713	216
888	1714	214
889	1716	212
890	1718	210
891	1720	208
892	1722	206
893	1724	204
894	1725	202
895	1728	200
896	1730	198
897	1732	196
898	1733	194
899	1735	192
900	1737	190
901	1739	188
902	1741	187
903	1743	185
904	1745	183
905	1746	181
906	1748	179
907	1750	177
908	1752	175
909	1754	173
910	1755	171
911	1757	169
912	1759	167
913	1761	165
914	1763	163
915	1765	161
916	1767	159
917	1769	158
918	1770	156
919	1772	154
920	1774	152
921	1776	150
922	1777	148
923	1779	146
924	1781	144
925	1783	142
926	1785	140
927	1787	138
928	1789	136
929	1791	134
930	1793	132
931	1795	130
932	1797	129
933	1798	127
934	1801	125
935	1803	123
936	1805	121
937	1806	119
938	1808	117
939	1810	115
940	1812	113
941	1814	111
942	1816	109
943	1817	107
944	1819	105
945	1821	103
946	1823	102
947	1825	100
948	1827	98
949	1829	96
950	1830	94
951	1832	92
952	1834	90
953	1836	88
954	1838	86
955	1839	84
956	1841	82
957	1843	80
958	1845	78
959	1846	76
960	1848	75
961	1850	73
962	1852	71
963	1854	69
964	1856	67
965	1857	65
966	1859	63
967	1861	61
968	1863	59
969	1865	57
970	1866	55
971	1868	53
972	1870	51
973	1872	49
974	1874	48
975	1876	46
976	1877	44
977	1879	42
978	1881	40
979	1883	38
980	1885	36
981	1887	34
982	1889	32
983	1890	30
984	1892	28
985	1894	26
986	1896	24
987	1898	23
988	1900	21
989	1901	19
990	1904	17
991	1905	15
992	1907	13
993	1909	11
994	1911	9
995	1913	7
996	1914	5
997	1916	3
998	1918	1
999	1920	0
